date,agent_id,team,site,account,shift,channel,program,tenure_band,ssa_n8nn_month,ssa_n8nn_calls_offered,ssa_n8nn_busy_rate_pct,daily_contacts,occupancy,aht,acw,qa,csat,fcr,escalation_rate,transfer_rate,late_count,absent_flag
2026-04-01,A001,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1603.0,0.841,462.47,67.31,90.09,4.51,0.825,0.074,0.104,0.2,1
2026-04-01,A002,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,1716.0,0.851,428.12,62.35,91.53,4.51,0.831,0.078,0.101,0.35,0
2026-04-01,A003,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,1829.0,0.861,402.37,58.63,92.61,4.51,0.836,0.082,0.099,0.5,0
2026-04-01,A004,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1942.0,0.871,462.47,67.31,90.09,4.51,0.825,0.086,0.113,0.65,0
2026-04-01,A005,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,2055.0,0.841,428.12,62.35,91.53,4.51,0.831,0.074,0.11,0.2,0
2026-04-01,A006,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,2168.0,0.851,402.37,58.63,92.61,4.51,0.836,0.078,0.093,0.35,0
2026-04-01,A007,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1603.0,0.861,462.47,67.31,90.09,4.51,0.825,0.082,0.107,0.5,0
2026-04-01,A008,Team Manila A,Manila,Telco,Swing,Voice,Retention,steady,2026-04,2715000,7.9,1716.0,0.871,428.12,62.35,91.53,4.51,0.831,0.086,0.104,0.65,0
2026-04-01,A009,Team Manila A,Manila,Telco,Night,Voice,Retention,senior,2026-04,2715000,7.9,1829.0,0.841,402.37,58.63,92.61,4.51,0.836,0.074,0.102,0.2,0
2026-04-01,A010,Team Manila A,Manila,Telco,Day,Voice,Retention,new,2026-04,2715000,7.9,1942.0,0.851,462.47,67.31,90.09,4.51,0.825,0.078,0.116,0.35,0
